IncidentNum,ReportedDateTime,ReportedYear,ReportedMonth,Location,WeaponUsed,ALD,NSP,POLICE,TRACT,WARD,ZIP,RoughX,RoughY,Arson,AssaultOffense,Burglary,CriminalDamage,Homicide,LockedVehicle,Robbery,SexOffense,Theft,VehicleTheft
C2411080004,2024-11-08 00:30:00,2024,11,5631 N 86TH ST,PERSONAL WEAPON,2,2,4,1500,30,53225,2529020.17603982,414617.410583325,0,1,0,0,0,0,0,0,0,0
C2411070085,2024-11-06 19:10:00,2024,11,1112 S 21ST ST,PERSONAL WEAPON,8,15,2,15800,306,53204,2551015.13204188,378505.516577009,0,1,0,0,0,0,0,0,0,0
C2411040116,2024-11-04 17:45:00,2024,11,2850 W HIGHLAND BL,FIREARM,4,14,3,13600,334,53208,2547996.09128908,387426.942224126,0,0,0,0,1,0,0,0,0,0
P2C24110010,2024-11-03 01:40:00,2024,11,1617 N HUMBOLDT AV,,3,,1,11000,179,53202,2561773.09324776,390121.422376756,0,0,0,0,0,1,0,0,0,0
C2411020089,2024-11-02 17:00:00,2024,11,1020 W HISTORIC MITCHELL ST,,12,16,2,16700,232,53204,2554815.65428022,376106.230553698,0,0,0,0,0,0,0,0,0,1
P2C24110006,2024-11-02 00:00:00,2024,11,629 S 9TH ST,,12,16,2,186500,229,53204,2555502.53923074,380356.6058359,0,0,0,1,0,0,0,0,0,0
P2C24110013,2024-11-01 10:30:00,2024,11,2039 N 23RD ST,,15,12,3,185400,145,53205,2550181.8455214,392095.56799892,0,0,0,0,0,1,0,0,0,0
P2C24110011,2024-11-01 08:00:00,2024,11,2839 S LENOX ST,,14,,6,18300,240,53207,2562332.15984115,368956.8409543,0,0,0,1,0,0,0,0,0,0
P2C24110012,2024-11-01 07:30:00,2024,11,5979 N 117TH ST,,5,,4,301,33,53225,2518334.43344029,416575.54086649,0,0,0,0,0,0,0,0,1,0
C2411010035,2024-11-01 07:00:00,2024,11,7940 W HAMPTON AV,NONE,2,,7,1700,39,53218,2530887.89236955,409053.058296204,0,1,0,1,0,0,0,0,0,0
C2411010008,2024-11-01 01:16:00,2024,11,8746 W CARMEN AV,FIREARM,2,2,4,1500,30,53225,2528103.30890078,415733.044966426,0,0,0,0,1,0,0,0,0,0
C2410310171,2024-10-31 22:30:00,2024,10,4212 N 47TH ST,FIREARM,7,1,7,4000,66,53216,2541588.24295967,405465.538132262,0,1,0,0,0,0,0,0,0,0
C2410310174,2024-10-31 22:10:00,2024,10,2536 W WARNIMONT AV,,13,,6,20200,271,53221,2549345.11507151,364067.395550862,0,0,0,0,0,0,0,0,0,1
